what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1331799693315
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331799701140
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1331799704506
started,bundle,org.eclipse.mylyn.resources.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.resources.ui",1331799704516
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331799707255
opened,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1331799711615
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1331799711703
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331799712164
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1331799714966
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1331799716156
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1331799716522
activated,editor,org.eclipse.wst.html.ui,1.0.505.v201106160200,"org.eclipse.wst.html.core.htmlsource.source",1331799717789
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1331799718624
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331799719707
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331799722123
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331799725959
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331799752859
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1331799758241
activated,editor,org.playframework.playclipse,0.7.0,"RouteEditor",1331799758321
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1331799758543
activated,editor,org.playframework.playclipse,0.7.0,"RouteEditor",1331799765480
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331799783949
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331799785031
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331799814076
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331799822611
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331799826550
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331799827847
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331799829515
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331799842513
activated,editor,org.playframework.playclipse,0.7.0,"RouteEditor",1331799845308
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331799855449
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331799856230
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331799856964
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331799873359
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331799877644
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331799882364
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331799883047
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331799897290
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331799902354
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331799979396
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1331799989455
error,log,,,"Unhandled event loop exception",1331799990061
error,log,,,"Unhandled event loop exception",1331799990118
error,log,,,"Unhandled event loop exception",1331799990125
error,log,,,"Unhandled event loop exception",1331799990133
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331799990470
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331799999602
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331800010698
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331800017204
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331800018153
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331800022231
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331800038241
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331800051579
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331800052244
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331800065695
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331800069138
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331800093396
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331800095556
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331800154892
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1331800156628
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331800160235
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331800164109
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331800174718
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331800180720
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331800181420
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331800184890
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1331800185256
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1331800188090
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1331800200885
opened,editor,org.playframework.playclipse,0.7.0,"ConfEditor",1331800201106
activated,editor,org.playframework.playclipse,0.7.0,"ConfEditor",1331800201169
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1331800201274
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331800219371
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331800397523
activated,editor,org.playframework.playclipse,0.7.0,"ConfEditor",1331800399154
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1331800400026
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331800400041
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331800443227
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1331800446621
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1331800447865
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331800449394
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331800475420
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1331800476985
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331800477002
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1331800478079
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1331800482319
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.textEnd",1331800483758
