what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1332205022147
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1332205022147
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1332205022147
started,bundle,org.eclipse.jem,2.0.402.v201106132000,"org.eclipse.jem",1332205022147
started,bundle,org.eclipse.jst.j2ee,1.1.406.v201110130300,"org.eclipse.jst.j2ee",1332205022147
started,bundle,org.eclipse.jst.j2ee.core,1.2.7.v201110060300,"org.eclipse.jst.j2ee.core",1332205022147
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1332205022166
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.4.v201106210700,"org.eclipse.wst.common.emfworkbench.integration",1332205022166
started,bundle,org.eclipse.wst.common.frameworks,1.2.1.v201107271600,"org.eclipse.wst.common.frameworks",1332205022167
started,bundle,org.eclipse.wst.common.modulecore,1.2.7.v201110060300,"org.eclipse.wst.common.modulecore",1332205022167
started,bundle,org.eclipse.wst.server.core,1.1.208.v20111005_1734,"org.eclipse.wst.server.core",1332205022167
started,bundle,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui",1332205022167
started,bundle,org.eclipse.wst.validation,1.2.204.v201109220700,"org.eclipse.wst.validation",1332205022167
started,bundle,org.eclipse.wst.web,1.1.403.v201103081400,"org.eclipse.wst.web",1332205022167
started,bundle,org.eclipse.wst.xml.core,1.1.505.v201109271810,"org.eclipse.wst.xml.core",1332205022167
started,bundle,com.google.gdt.eclipse.core,2.5.2.v201202290255-rel-r36,"com.google.gdt.eclipse.core",1332205022167
started,bundle,com.google.gdt.eclipse.login,2.5.2.v201202290255-rel-r36,"com.google.gdt.eclipse.login",1332205022167
started,bundle,com.google.gdt.eclipse.managedapis,2.5.2.v201202290255-rel-r36,"com.google.gdt.eclipse.managedapis",1332205022167
started,bundle,com.google.gdt.eclipse.platform.e36,2.5.2.v201202290255-rel-r36,"com.google.gdt.eclipse.platform.e36",1332205022168
started,bundle,com.google.gdt.eclipse.platform.shared,2.5.2.v201202290255-rel-r36,"com.google.gdt.eclipse.platform.shared",1332205022168
started,bundle,com.google.gdt.eclipse.suite.ext,2.5.2.v201202290255-rel-r36,"com.google.gdt.eclipse.suite.ext",1332205022168
started,bundle,com.google.gwt.eclipse.core,2.5.2.v201202290255-rel-r36,"com.google.gwt.eclipse.core",1332205022168
started,bundle,com.python.pydev.analysis,2.4.0.2012020116,"com.python.pydev.analysis",1332205022168
started,bundle,org.python.pydev,2.4.0.2012020116,"org.python.pydev",1332205022168
started,bundle,org.python.pydev.core,2.4.0.2012020116,"org.python.pydev.core",1332205022168
os,sysinfo,,,"linux",1332205022176
arch,sysinfo,,,"x86",1332205022176
ws,sysinfo,,,"gtk",1332205022176
locale,sysinfo,,,"en_US",1332205022176
processors,sysinfo,,,"4",1332205022176
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1332205022176
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1332205022176
java.specification.name,sysinfo,,,"Java Platform API Specification",1332205022176
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1332205022176
java.specification.version,sysinfo,,,"1.6",1332205022176
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1332205022177
java.version,sysinfo,,,"1.6.0_26",1332205022177
java.vm.info,sysinfo,,,"mixed mode",1332205022177
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1332205022177
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1332205022177
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1332205022177
java.vm.specification.version,sysinfo,,,"1.0",1332205022177
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1332205022177
java.vm.version,sysinfo,,,"20.1-b02",1332205022177
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1332205022385
started,bundle,org.python.pydev.debug,2.4.0.2012020116,"org.python.pydev.debug",1332205022589
started,bundle,org.eclipse.wst.sse.core,1.1.506.v201110201853,"org.eclipse.wst.sse.core",1332205022607
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1332205022731
